"","Road","Number_of_Fees(sheet/day)","Total_Parking_Hours(hours/day)","Number_of_Parking_Space","Hours_per_sheet","Time_Start","Time_End","Interval","Space_efficiency"
"1"," 立功路",44.5218390804598,144.76091954023,50.383908045977,3.25145866680436,"09:00","17:00",8,"35.9%"
"2","愛國東路",141.108045977011,213.022988505747,106.78275862069,1.50964452119514,"07:00","20:00",13,"15.3%"
"3","愛國西路",13.5424588086185,24.4309252217997,8.90747782002535,1.80402433317735,"09:00","17:00",8,"34.3%"
"4","安東街",11.7379310344828,20.2689655172414,5.07586206896552,1.7267920094007,"07:00","20:00",13,"30.7%"
"5","安東街16巷",52.7402298850575,108.058620689655,58.4689655172414,2.04888414262052,"07:00","20:00",13,"14.2%"
"6","安東街40巷",40.9080459770115,84.9333333333333,26.5563218390805,2.07620118010677,"07:00","20:00",13,"24.6%"
"7","安和路二段",107.09156626506,229.545381526104,77.685140562249,2.14344966211402,"07:00","20:00",13,"22.7%"
"8","安和路二段74巷",24.261935483871,49.1935483870968,12.5716129032258,2.0276019784077,"07:00","20:00",13,"30.1%"
"9","安和路一段127巷含29弄",68.6597701149425,148.142528735632,83.7356321839081,2.15763216928383,"07:00","20:00",13,"13.6%"
"10","安和路一段A",74.1164495114006,148.838762214984,42.8583061889251,2.0081744767346,"07:00","20:00",13,"26.7%"
"11","安和路一段B(累進計時)",41.5539334955393,72.5279805352798,18.7323600973236,1.74539386368959,"07:00","20:00",13,"29.8%"
"12","安康平面停車場",154.359967051071,286.574958813839,202.744645799012,1.85653679699882,"09:00","17:00",8,"17.7%"
"13","安美街",19.6666666666667,32,42.0714285714286,1.6271186440678,"09:00","17:00",8,"9.5%"
"14","安西街",20.3172413793103,33.9862068965517,24.6620689655172,1.67277664630007,"09:00","17:00",8,"17.2%"
"15","安祥平面停車場",24.0264367816092,50.9954022988506,9.75057471264368,2.12247045878582,"07:00","20:00",13,"40.2%"
"16","八德路2段174巷含11弄",23.2114942528736,42.3655172413793,26.3827586206897,1.82519560265425,"07:00","20:00",13,"12.4%"
"17","八德路2段199巷",28.7011494252874,48.1448275862069,19.1172413793103,1.67745294353224,"07:00","20:00",13,"19.4%"
"18","八德路2段210巷",41.3921568627451,58.244008714597,46.9847494553377,1.40712669087847,"07:00","20:00",13,"9.5%"
"19","八德路2段218巷",36.064367816092,65.1310344827586,36.0712643678161,1.80596634370219,"07:00","20:00",13,"13.9%"
"20","八德路二段167巷",18.151724137931,32.8114942528736,12.3908045977012,1.80762411347518,"07:00","20:00",13,"20.4%"
"21","八德路二段451巷",37.7760097919217,74.9571603427173,19.3880048959608,1.98425298901597,"07:00","20:00",13,"29.7%"
"22","八德路二段臨時平面",8.33831990794016,16.3808975834292,4.53970080552359,1.96453215567209,"09:00","17:00",8,"45.1%"
"23","八德路二段A",25.9077340569878,41.3948439620081,14.6960651289009,1.59777940714361,"07:00","20:00",13,"21.7%"
"24","八德路二段B",43.3652822151225,51.395101171459,30.8551650692226,1.18516699410609,"07:00","20:00",13,"12.8%"
"25","八德路三段",38.3408104196816,53.4196816208394,27.2525325615051,1.39328514541303,"07:00","20:00",13,"15.1%"
"26","八德路四段",33.6391412056152,52.6226259289843,21.5020644095789,1.56432727004934,"07:30","20:00",12.7,"19.3%"
"27","八德路四段17巷",9.97004608294931,24.610599078341,3.7258064516129,2.46845389415299,"07:00","20:00",13,"50.8%"
"28","八德路一段",12.3889943074004,9.61100569259962,22.4288425047438,0.775769643130648,"09:00","16:00",7,"6.1%"
"29","八德路一段43巷",7.85229540918164,10.0758483033932,8.70059880239521,1.28317234367056,"07:00","20:00",13,"8.9%"
"30","八德路一段43巷(機車)",191.988461538462,154.713461538462,179.236538461538,0.805847707193942,"12:00","20:00",8,"10.8%"
"31","八德路一段北側",34.7462121212121,28.0189393939394,27.467803030303,0.806388313528835,"12:00","20:00",8,"12.8%"
"32","百齡槌球場",105.721709006928,43.4110854503464,426.379907621247,0.410616569275299,"09:00","17:00",8,"1.3%"
"33","百齡堤外停車場A",130.138888888889,54.8726851851852,504.297453703704,0.421647100675916,"09:00","17:00",8,"1.4%"
"34","百齡堤外停車場B",30.1585081585082,16.009324009324,154.564102564103,0.530839387849745,"09:00","17:00",8,"1.3%"
"35","百齡橋堤外足球場",38.48,38.48,23.76,1,"09:00","17:00",8,"20.2%"
"36","保安街",34.4033816425121,52.8526570048309,30.9178743961353,1.53626342764867,"09:00","17:00",8,"21.4%"
"37","寶興街",83.9298850574713,162.109195402299,106.798850574713,1.9314835864638,"09:00","17:00",8,"19.0%"
"38","北安路",112.92600422833,131.399577167019,72.4334038054968,1.1635900700191,"10:00","18:00",8,"22.7%"
"39","北安路458巷41弄",125.06213592233,184.660194174757,109.906796116505,1.47654758023196,"10:00","18:00",8,"21.0%"
"40","北安路458巷47弄",124.887356321839,188.570114942529,162.652873563218,1.50992158450834,"10:00","18:00",8,"14.5%"
"41","北安路554巷",38.6712643678161,52.4597701149425,23.4597701149425,1.35655688978718,"10:00","18:00",8,"28.0%"
"42","北安路770巷",26.5264367816092,49.8781609195402,64.7310344827586,1.88031891845047,"10:00","18:00",8,"9.6%"
"43","北寧路",20.1522668947819,40.1189050470488,10.4952951240376,1.99078869173954,"13:00","20:00",7,"54.6%"
"44","北平東路",123.158322056834,217.645466847091,143.82949932341,1.76720065044938,"07:00","20:00",13,"11.6%"
"45","北平西路（逸仙公園南側）",66.8657407407407,66.8657407407407,142.833333333333,1,"09:00","17:00",8,"5.9%"
"46","北平西路A",146.55069124424,146.55069124424,197.543778801843,1,"00:00","09:00",9,"8.2%"
"47","北投磺港溪廣場",119.712313003452,123.189873417722,49.7456846950518,1.02904931269826,"09:00","17:00",8,"31.0%"
"48","北投路1段",64.97,64.97,161.92,1,"09:00","17:00",8,"5.0%"
"49","北投路2段",37.97,37.97,81.16,1,"09:00","17:00",8,"5.8%"
"50","濱江街",41.5278350515464,62.6783505154639,88.3525773195876,1.50930936894891,"09:00","17:00",8,"8.9%"
"51","濱江街路邊停車場",50.6354166666667,40.0115740740741,239.047453703704,0.790189490045487,"08:00","22:00",14,"1.2%"
"52","濱江街路邊停車場A",33.0138248847926,25.8571428571429,97.4032258064516,0.78322166387493,"09:00","17:00",8,"3.3%"
"53","濱江橋下停車場",14.8300907911803,31.5525291828794,15.7328145265888,2.12760188910268,"07:00","21:30",14.5,"13.8%"
"54","博愛路A（計時）",58.2240184757506,81.4688221709007,51.6720554272517,1.39923049462536,"09:00","17:00",8,"19.7%"
"55","博愛路B（含機車）",94.9326683291771,96.7431421446384,108.374064837905,1.01907113586214,"09:00","17:00",8,"11.2%"
"56","博愛路C（累進計時）",87.0069848661234,127.357392316647,106.938300349243,1.46376055339247,"07:00","20:00",13,"9.2%"
"57","昌吉街",46.088212334114,74.8376268540203,53.6057767369243,1.6237910533715,"09:00","17:00",8,"17.5%"
"58","常德街（機車計次）",307.533333333333,307.533333333333,119.862068965517,1,"09:00","17:00",8,"32.1%"
"59","潮州街",56.8149425287356,110.344827586207,34.5862068965517,1.94217969208359,"07:00","20:00",13,"24.5%"
"60","成都路A",29.3931034482759,69.5770114942529,36.5793103448276,2.3671202878148,"09:00","17:00",8,"23.8%"
"61","成都路B",201.825192802057,204.842544987147,134.907455012853,1.01495032479939,"11:00","19:00",8,"19.0%"
"62","成福路",15.25,34.0833333333333,24.3055555555556,2.23497267759563,"09:00","17:00",8,"17.5%"
"63","成功路1段",47.475,87.325,91.4,1.83938915218536,"07:00","20:00",13,"7.3%"
"64","成功路2段",55.4626865671642,98.3805970149254,71.0149253731343,1.77381593110872,"09:00","17:00",8,"17.3%"
"65","成功路3段",32.9328358208955,58.6194029850746,64.7014925373134,1.77996827554951,"09:00","17:00",8,"11.3%"
"66","成功路三段",44.3333333333333,65.4045977011494,28.6574712643678,1.47529167746954,"10:00","16:00",6,"38.0%"
"67","成功路四段",88.6191066997519,128.705955334988,90.8411910669975,1.45234995169894,"07:00","20:00",13,"10.9%"
"68","成功路五段",103.903448275862,161.62183908046,184.305747126437,1.5555002433736,"09:00","17:00",8,"11.0%"
"69","承德堤外",153.132467532468,44.3688311688312,684.509090909091,0.289741502137187,"09:00","17:00",8,"0.8%"
"70","承德路二段75巷",11.7174447174447,29.6314496314496,13.5036855036855,2.52883204026001,"09:00","17:00",8,"27.4%"
"71","承德路二段91巷",8.89607390300231,21.8129330254042,7.84295612009238,2.45197300103842,"09:00","17:00",8,"34.8%"
"72","承德路二段A",69.1706563706564,84.3389961389961,106.483397683398,1.2192886487452,"09:00","17:00",8,"9.9%"
"73","承德路二段B",18.7082228116711,17.9562334217507,18.0901856763926,0.959804338579328,"09:00","17:00",8,"12.4%"
"74","承德路六段",74.4357298474946,30.0806100217865,359.294117647059,0.404115202247849,"10:00","16:00",6,"1.4%"
"75","承德路七段",71.7505747126437,26.6528735632184,163.937931034483,0.371465645675472,"09:00","17:00",8,"2.0%"
"76","承德路三段",50.2176706827309,67.2497991967872,65.45140562249,1.33916604021049,"09:00","17:00",8,"12.8%"
"77","承德路三段208巷",29.8563218390805,46.0563218390805,28.4494252873563,1.54259865255053,"09:00","17:00",8,"20.2%"
"78","承德路三段283巷",24.1172413793103,35.4367816091954,14.5034482758621,1.46935468496807,"09:00","17:00",8,"30.5%"
"79","承德路三段285巷",51.12,100.24,82.96,1.96087636932707,"09:00","17:00",8,"15.1%"
"80","承德路四段179巷含機車",90.5573476702509,105.073476702509,121.622759856631,1.16029763907304,"12:00","20:00",8,"10.8%"
"81","承德路四段195巷含機車",80.6813996316759,103.264272559853,83.0580110497238,1.27990184889295,"12:00","20:00",8,"15.5%"
"82","承德路四段58巷",18.1851851851852,34.1851851851852,25.9407407407407,1.87983706720978,"09:00","17:00",8,"16.5%"
"83","承德路四段77巷",11.2112676056338,12.2012072434608,5.31388329979879,1.08829863603733,"07:00","20:00",13,"17.7%"
"84","承德路四段A",107.284784377543,165.096826688365,81.7510170870626,1.53886525145427,"07:00","20:00",13,"15.5%"
"85","承德路四段B含機車",23.3120740019474,34.255111976631,30.5175267770204,1.46941503247499,"12:00","20:00",8,"14.0%"
"86","承德路一段",7.94074074074074,0.637037037037037,7.67901234567901,0.0802238805970149,"09:00","17:00",8,"1.0%"
"87","崇德街",19.24,40,16.66,2.07900207900208,"09:00","17:00",8,"30.0%"
"88","崇仁路1段",2.25,2.25,2.25,1,"09:00","17:00",8,"12.5%"
"89","大安路二段",213.770089285714,361.535714285714,145.852678571429,1.69123620378202,"07:00","20:00",13,"19.1%"
"90","大安路一段",96.0591174021649,160.467943380516,54.6877601998335,1.67051236488771,"07:00","20:00",13,"22.6%"
"91","大道路",48.7526020816653,90.0880704563651,66.1008807045637,1.84786178808382,"09:00","17:00",8,"17.0%"
"92","大東路",28.2345454545455,52.6536363636364,23.4509090909091,1.86486573507631,"09:00","17:00",8,"28.1%"
"93","大湖山莊街",107.888888888889,192.722222222222,354.666666666667,1.78630278063852,"09:00","17:00",8,"6.8%"
"94","大佳公園八號水門堤外平面大車停車場",27.25,8.41509433962264,90.8797169811321,0.308810801454042,"09:00","17:00",8,"1.2%"
"95","大佳公園八號水門堤外平面小車停車場",124.246794871795,37.6634615384615,372.948717948718,0.303134270604927,"09:00","17:00",8,"1.3%"
"96","大佳河濱公園",64.1955671447197,26.8617992177314,741.449804432855,0.418436979568626,"09:00","22:00",13,"0.3%"
"97","大龍街",40.6954022988506,56.6045977011494,37.3850574712644,1.39093348397119,"09:00","17:00",8,"18.9%"
"98","大南路(含285巷)",8.76091954022989,13.7954022988506,5.5448275862069,1.57465232222514,"09:00","17:00",8,"31.1%"
"99","大業路",53,53,418.5,1,"09:00","17:00",8,"1.6%"
"100","大直街",12.0528735632184,20.0597701149425,6.53103448275862,1.66431432386039,"10:00","18:00",8,"38.4%"
"101","丹陽街",47.2298850574713,67.4597701149425,28.0275862068966,1.42832806035532,"07:00","20:00",13,"18.5%"
